2,23,Chamba,84,Chaurah,6989,Sauti  (518)
2,23,Chamba,84,Chaurah,6990,D.P.F.Kyani  (517)
2,23,Chamba,84,Chaurah,6991,D.P.F.Gutkar  (551)
2,23,Chamba,84,Chaurah,6992,Kella  (552)
2,23,Chamba,84,Chaurah,6993,Kumauta  (570)
2,23,Chamba,84,Chaurah,6994,D.P.F.Chanjla  (553)
2,23,Chamba,84,Chaurah,6995,D.P.F.Gwari  (549)
2,23,Chamba,84,Chaurah,6996,Kalhel  (550)
2,23,Chamba,84,Chaurah,6997,Dhand  (520)
2,23,Chamba,84,Chaurah,6998,Kuthar  (548)
2,23,Chamba,84,Chaurah,6999,Shind  (545)
2,23,Chamba,84,Chaurah,7000,Bhauga  (554)
2,23,Chamba,84,Chaurah,7001,Dughli  (568)
2,23,Chamba,84,Chaurah,7002,Singori  (569)
2,23,Chamba,84,Chaurah,7003,Dand  (566)
2,23,Chamba,84,Chaurah,7004,Kainthly    (564)
2,23,Chamba,84,Chaurah,7005,Dhandor  (565)
2,23,Chamba,84,Chaurah,7006,Choli  (567)
2,23,Chamba,84,Chaurah,7007,Garh  (556)
2,23,Chamba,84,Chaurah,7008,Swiga  (555)
2,23,Chamba,84,Chaurah,7009,D.P.F.Seri  (544)
2,23,Chamba,84,Chaurah,7010,D.P.F.Kalunj  (547)
2,23,Chamba,84,Chaurah,7011,R.F.Seri  (543)
2,23,Chamba,84,Chaurah,7012,Jhanuh  (546)
2,23,Chamba,84,Chaurah,7013,D.P.F. Jhanuh    (542)
2,23,Chamba,84,Chaurah,7014,D.P.F.Bhalun  (541)
2,23,Chamba,84,Chaurah,7015,Dehra  (521)
2,23,Chamba,84,Chaurah,7016,Helan  (522)
2,23,Chamba,84,Chaurah,7017,D.P.F.Saloh  (514)
2,23,Chamba,84,Chaurah,7018,D.P.F.Gadiog  (508)
2,23,Chamba,84,Chaurah,7019,Dhar Pukhar  (523)
2,23,Chamba,84,Chaurah,7020,Gadiog  (507)
2,23,Chamba,84,Chaurah,7021,Utpur  (506)
2,23,Chamba,84,Chaurah,7022,Kuther    (505)
2,23,Chamba,84,Chaurah,7023,Bhatrudi    (459)
2,23,Chamba,84,Chaurah,7024,Dhar Tundara  (460)
2,23,Chamba,84,Chaurah,7025,Katwar  (461)
2,23,Chamba,84,Chaurah,7026,Deola  (504)
2,23,Chamba,84,Chaurah,7027,D.P.F.Jala  (503)
2,23,Chamba,84,Chaurah,7028,R.F.Khajriala  (502)
2,23,Chamba,84,Chaurah,7029,Lindi Behi Chhoti  (525)
2,23,Chamba,84,Chaurah,7030,R.F.Lindi Behi Bari  (524)
2,23,Chamba,84,Chaurah,7031,Drabbar  (528)
2,23,Chamba,84,Chaurah,7032,Charauri  (529)
2,23,Chamba,84,Chaurah,7033,Chanan  (539)
2,23,Chamba,84,Chaurah,7034,R.F.Rupani  (540)
